,ID,Condition,Sentence,Construction,Semantic_Role,Standard_Filler_position_GPT,Standard_Filler_position_BERT,Elliptical_Filler_position_GPT,Elliptical_Filler_position_BERT,Standard_filler,Elliptical_filler,Score1_BERT,Score2_BERT,Score1_GPT,Score2_GPT
0,1,T – T,"The photographer used the camera, and the reporter did too.",VP-ellipsis,Agent,0,1,0,8,photographer,reporter,-3.0797767639160156,-4.335385322570801,,
1,1,T – AT,"The photographer used the camera, and the butcher did too.",VP-ellipsis,Agent,0,1,0,8,photographer,butcher,-4.711822509765625,-9.372535705566406,,
2,1,AT – T,"The grandfather used the camera, and the reporter did too.",VP-ellipsis,Agent,0,1,0,8,grandfather,reporter,-10.543611526489258,-7.062603950500488,,
3,1,AT – AT,"The grandfather used the camera, and the butcher did too.",VP-ellipsis,Agent,0,1,0,8,grandfather,butcher,-7.773521900177002,-8.805917739868164,,
4,1,T – SP violation,"The photographer used the camera, and the bike did too.",VP-ellipsis,Agent,0,1,0,8,photographer,bike,-5.308974266052246,-8.480192184448242,,
5,2,T – T,"The engineer completed the project, but the student didn’t.",VP-ellipsis,Agent,0,1,0,8,engineer,student,-6.449538707733154,-6.172825336456299,,
6,2,T – AT,"The engineer completed the project, but the cyclist didn’t.",VP-ellipsis,Agent,0,1,0,8,engineer,cyclist,-4.596606731414795,-9.246501922607422,,
7,2,AT – T,"The child completed the project, but the student didn’t.",VP-ellipsis,Agent,0,1,0,8,child,student,-5.699619293212891,-6.0045671463012695,,
8,2,AT – AT,"The child completed the project, but the cyclist didn’t. ",VP-ellipsis,Agent,0,1,0,8,child,cyclist,-5.677059173583984,-10.886418342590332,,
9,2,T – SP violation,"The engineer completed the project, but the ball didn’t.",VP-ellipsis,Agent,0,1,0,8,engineer,ball,-9.365918159484863,-8.49836540222168,,
10,3,T – T,"The barber cuts the hair, and the hairdresser does too.",VP-ellipsis,Agent,0,2,0,11,##ber,##er,-0.5651569366455078,-0.0028858184814453125,,
11,3,T – AT,"The barber cuts the hair, and the butcher does too.",VP-ellipsis,Agent,0,2,0,9,##ber,butcher,-0.524287223815918,-4.986140251159668,,
12,3,AT – T,"The doctor cuts the hair, and the hairdresser does too. ",VP-ellipsis,Agent,0,1,0,10,doctor,##er,-3.02683162689209,-0.003940582275390625,,
13,3,AT – AT,"The doctor cuts the hair, and the butcher does too.",VP-ellipsis,Agent,0,1,0,8,doctor,butcher,-3.5973281860351562,-7.4094719886779785,,
14,3,T – SP violation,"The barber cuts the hair, and happiness does too.",VP-ellipsis,Agent,0,2,0,8,##ber,happiness,-1.1663684844970703,-12.964249610900879,,
15,4,T – T,"The butcher used the knife, and the soldier did too.",VP-ellipsis,Agent,0,1,0,8,butcher,soldier,-8.112689971923828,-4.936829566955566,,
16,4,T – AT,"The butcher used the knife, and the teacher did too.",VP-ellipsis,Agent,0,1,0,8,butcher,teacher,-8.543456077575684,-7.312700271606445,,
17,4,AT – T,"The bricklayer used the knife, and the soldier did too.",VP-ellipsis,Agent,0,2,0,9,##layer,soldier,-0.8225688934326172,-4.972478866577148,,
18,4,AT – AT,"The bricklayer used the knife, and the teacher did too.",VP-ellipsis,Agent,0,2,0,9,##layer,teacher,-1.2360172271728516,-7.395371437072754,,
19,4,T – SP violation,"The butcher used the knife, and the dish did too.",VP-ellipsis,Agent,0,1,0,8,butcher,dish,-6.3725714683532715,-10.209053039550781,,
20,5,T – T,"The snowboarder flips the board, but the surfer doesn’t.",VP-ellipsis,Agent,0,3,0,12,##er,##er,-0.08172798156738281,-0.08188247680664062,,
21,5,T – AT,"The snowboarder flips the board, but the hairstylist doesn’t.",VP-ellipsis,Agent,0,3,0,13,##er,##list,-0.056754112243652344,-0.08226203918457031,,
22,5,AT – T,"The hydraulic flips the board, but the surfer doesn’t.",VP-ellipsis,Agent,0,1,0,9,hydraulic,surf,-12.384081840515137,-4.4206438064575195,,
23,5,AT – AT,"The hydraulic flips the board, but the hairstylist doesn’t.",VP-ellipsis,Agent,0,1,0,8,hydraulic,the,-14.161664009094238,-0.2102212905883789,,
24,5,T – SP violation,"The snowboarder flips the board, but the phone doesn’t.",VP-ellipsis,Agent,0,3,0,11,##er,phone,-0.07110214233398438,-9.08005142211914,,
25,6,T – T,"The comedian entertained the audience, and the speaker did too.",VP-ellipsis,Agent,0,1,0,8,comedian,speaker,-6.039886474609375,-6.185184478759766,,
26,6,T – AT,"The comedian entertained the audience, and the student did too.",VP-ellipsis,Agent,0,1,0,8,comedian,student,-6.013615131378174,-6.547898769378662,,
27,6,AT – T,"The doctor entertained the audience, and the speaker did too.",VP-ellipsis,Agent,0,1,0,8,doctor,speaker,-6.9622907638549805,-7.3482537269592285,,
28,6,AT – AT,"The doctor entertained the audience, and the student did too.",VP-ellipsis,Agent,0,1,0,8,doctor,student,-4.72281551361084,-6.942497253417969,,
29,6,T – SP violation,"The comedian entertained the audience, and the bottle did too.",VP-ellipsis,Agent,0,1,0,8,comedian,bottle,-7.357098579406738,-10.088622093200684,,
30,7,T – T,"The sculptor carved the stone, but the artist didn’t.",VP-ellipsis,Agent,0,2,0,8,carved,artist,-5.153593063354492,-3.9616808891296387,,
31,7,T – AT,"The sculptor carved the stone, but the butcher didn’t.",VP-ellipsis,Agent,0,1,0,8,sculptor,butcher,-3.932710647583008,-9.325180053710938,,
32,7,AT – T,"The therapist carved the stone, but the artist didn’t.",VP-ellipsis,Agent,0,1,0,8,therapist,artist,-9.845207214355469,-3.4761276245117188,,
33,7,AT – AT,"The therapist carved the stone, but the butcher didn’t.",VP-ellipsis,Agent,0,1,0,8,therapist,butcher,-11.708255767822266,-9.6434907913208,,
34,7,T – SP violation,"The sculptor carved the stone, but the sound didn’t.",VP-ellipsis,Agent,0,1,0,8,sculptor,sound,-5.370157241821289,-8.542171478271484,,
35,8,T – T,"The soldier wore a helmet, and so did the biker.",Do-x/ Do-so anaphora,Agent,0,1,0,11,soldier,##r,-4.311517715454102,-0.14774322509765625,,
36,8,T – AT,"The soldier wore a helmet, and so did the professor.",Do-x/ Do-so anaphora,Agent,0,1,0,10,soldier,professor,-3.599517822265625,-6.082923412322998,,
37,8,AT – T,"The swimmer wore a helmet, and so did the biker.",Do-x/ Do-so anaphora,Agent,0,1,0,11,swimmer,##r,-9.179332733154297,-0.13677501678466797,,
38,8,AT – AT,"The swimmer wore a helmet, and so did the professor.",Do-x/ Do-so anaphora,Agent,0,1,0,10,swimmer,professor,-9.683737754821777,-6.678094863891602,,
39,8,T – SP violation,"The soldier wore a helmet, and so did the tree.",Do-x/ Do-so anaphora,Agent,0,1,0,10,soldier,tree,-4.48248291015625,-7.712468147277832,,
40,9,T – T,"The teacher helped the child, and the mother did the same thing.",Do-x/ Do-so anaphora,Agent,0,1,0,8,teacher,mother,-6.584921836853027,-2.400448799133301,,
41,9,T – AT,"The teacher helped the child, and the cook did the same thing.",Do-x/ Do-so anaphora,Agent,0,1,0,8,teacher,cook,-5.743842124938965,-7.341228485107422,,
42,9,AT – T,"The florist helped the child, and the mother did the same thing.",Do-x/ Do-so anaphora,Agent,0,3,0,10,##t,mother,-0.022836685180664062,-2.6873435974121094,,
43,9,AT – AT,"The florist helped the child, and the cook did the same thing. ",Do-x/ Do-so anaphora,Agent,0,3,0,10,##t,cook,-0.021417617797851562,-5.361194610595703,,
44,9,T – SP violation,"The teacher helped the child, and the boat did the same thing.",Do-x/ Do-so anaphora,Agent,0,1,0,8,teacher,boat,-6.334984302520752,-11.592853546142578,,
45,10,T – T,"The programmer uses the computer, and so does the student.",Do-x/ Do-so anaphora,Agent,0,1,0,10,programmer,student,-7.938261985778809,-6.71353816986084,,
46,10,T – AT,"The programmer uses the computer, and so does the farmer.",Do-x/ Do-so anaphora,Agent,0,1,0,10,programmer,farmer,-7.568334579467773,-7.978684902191162,,
47,10,AT – T,"The lumberjack uses the computer, and so does the student.",Do-x/ Do-so anaphora,Agent,0,2,0,11,##jack,student,-0.22288227081298828,-8.855634689331055,,
48,10,AT – AT,"The lumberjack uses the computer, and so does the farmer.",Do-x/ Do-so anaphora,Agent,0,2,0,11,##jack,farmer,-0.9234962463378906,-6.6061906814575195,,
49,10,T – SP violation,"The programmer uses the computer, and so does the chair.",Do-x/ Do-so anaphora,Agent,0,1,0,10,programmer,chair,-7.917177200317383,-7.467927932739258,,
50,11,T – T,"The spectator bought a ticket, and  the passenger did so too.",Do-x/ Do-so anaphora,Agent,0,2,0,9,##pectator,passenger,-1.2908916473388672,-6.416690349578857,,
51,11,T – AT,"The spectator bought a ticket, and the cook did so too.",Do-x/ Do-so anaphora,Agent,0,2,0,9,##pectator,cook,-2.8608837127685547,-7.571552276611328,,
52,11,AT – T,"The housewife bought a ticket, and the passenger did so too.",Do-x/ Do-so anaphora,Agent,0,2,0,9,##wife,passenger,-3.399425506591797,-5.494919776916504,,
53,11,AT – AT,"The housewife bought a ticket, and the cook did so too.",Do-x/ Do-so anaphora,Agent,0,2,0,9,##wife,cook,-2.866827964782715,-5.6065263748168945,,
54,11,T – SP violation,"The spectator bought a ticket, and the turtle did so too.",Do-x/ Do-so anaphora,Agent,0,2,0,9,##pectator,turtle,-3.4407148361206055,-10.997859954833984,,
55,12,T – T,"The terrorist released the hostage, and the soldiers did the same thing.",Do-x/ Do-so anaphora,Agent,0,1,0,8,terrorist,soldiers,-8.883543014526367,-5.211032867431641,,
56,12,T – AT,"The terrorist released the hostage, and the artist did the same thing.",Do-x/ Do-so anaphora,Agent,0,1,0,8,terrorist,artist,-6.378030776977539,-8.954365730285645,,
57,12,AT – T,"The electrician released the hostage, and the soldiers did the same thing.",Do-x/ Do-so anaphora,Agent,0,2,0,9,##ian,soldiers,-1.3403654098510742,-5.194981575012207,,
58,12,AT – AT,"The electrician released the hostage, and the artist did the same thing.",Do-x/ Do-so anaphora,Agent,0,2,0,9,##ian,artist,-0.27907752990722656,-10.430525779724121,,
