,ID,Condition,Sentence,Construction,Semantic_Role,Sentence_score_(GPT),Sentence_score_(BERT)
0,1,T – T,"The photographer used the camera, and the reporter did too.",VP-ellipsis,Agent,-4.4023756980896,-1.9702361424764
1,1,T – AT,"The photographer used the camera, and the butcher did too.",VP-ellipsis,Agent,-4.866790294647217,-2.733161131540934
2,1,AT – T,"The grandfather used the camera, and the reporter did too.",VP-ellipsis,Agent,-4.994553089141846,-3.296982725461324
3,1,AT – AT,"The grandfather used the camera, and the butcher did too.",VP-ellipsis,Agent,-5.207554340362549,-3.5417410135269165
4,1,T – SP violation,"The photographer used the camera, and the bike did too.",VP-ellipsis,Agent,-4.508456707000732,-2.668523073196411
5,2,T – T,"The engineer completed the project, but the student didn’t.",VP-ellipsis,Agent,-5.201939582824707,-4.56541318159837
6,2,T – AT,"The engineer completed the project, but the cyclist didn’t.",VP-ellipsis,Agent,-5.391611576080322,-4.748010525336633
7,2,AT – T,"The child completed the project, but the student didn’t.",VP-ellipsis,Agent,-5.347959518432617,-4.436380716470572
8,2,AT – AT,"The child completed the project, but the cyclist didn’t. ",VP-ellipsis,Agent,-5.6820173263549805,-5.014597892761231
9,2,T – SP violation,"The engineer completed the project, but the ball didn’t.",VP-ellipsis,Agent,-5.446559429168701,-5.278521207662729
10,3,T – T,"The barber cuts the hair, and the hairdresser does too.",VP-ellipsis,Agent,-2.8759286403656006,-1.1252042134602864
11,3,T – AT,"The barber cuts the hair, and the butcher does too.",VP-ellipsis,Agent,-3.8635566234588623,-1.9143765889681303
12,3,AT – T,"The doctor cuts the hair, and the hairdresser does too. ",VP-ellipsis,Agent,-3.662407636642456,-1.279876436505999
13,3,AT – AT,"The doctor cuts the hair, and the butcher does too.",VP-ellipsis,Agent,-4.463850021362305,-2.438519517580668
14,3,T – SP violation,"The barber cuts the hair, and happiness does too.",VP-ellipsis,Agent,-4.63020658493042,-3.065771500269572
15,4,T – T,"The butcher used the knife, and the soldier did too.",VP-ellipsis,Agent,-4.413354873657227,-2.213517427444458
16,4,T – AT,"The butcher used the knife, and the teacher did too.",VP-ellipsis,Agent,-4.530035495758057,-2.6071366469065347
17,4,AT – T,"The bricklayer used the knife, and the soldier did too.",VP-ellipsis,Agent,-4.394180774688721,-1.9492957041813777
18,4,AT – AT,"The bricklayer used the knife, and the teacher did too.",VP-ellipsis,Agent,-4.541064262390137,-2.294631994687594
19,4,T – SP violation,"The butcher used the knife, and the dish did too.",VP-ellipsis,Agent,-4.875084400177002,-3.080827315648397
