,ID,Condition,Sentence,Construction,Semantic_Role,Prompt_GPT,Prompt_BERT,Verb_to_retrieve,DObj_to_retrieve,Generated_text_GPTsampling_1,Generated_text_GPTsampling_2,Generated_text_GPTsampling_3,Match_verb_GPTsampling,Match_dObj_GPTsampling,Generated_text_GPT_noSampling,Match_verb_GPT_noSampling,Match_dObj_noSampling,Generated_token_BERT,Match_verb_BERT
0,1.0,T - T,"The photographer used the camera, and the reporter did too.",VP-ellipsis,Agent,"The photographer used the camera, and the reporter did too. What the reporter did was","The photographer used the camera, and the reporter did too. What the reporter did was [MASK] the camera.",use,camera,"The photographer used the camera, and the reporter did too. What the reporter did was to take the photo","The photographer used the camera, and the reporter did too. What the reporter did was to take a picture","The photographer used the camera, and the reporter did too. What the reporter did was to take the photo",No,No,"The photographer used the camera, and the reporter did too. What the reporter did was to take a photo of",No,No,use,Yes
1,1.0,T - AT,"The photographer used the camera, and the butcher did too.",VP-ellipsis,Agent,"The photographer used the camera, and the butcher did too. What the butcher did was","The photographer used the camera, and the butcher did too. What the butcher did was [MASK] the camera.",use,camera,"The photographer used the camera, and the butcher did too. What the butcher did was to take the photo","The photographer used the camera, and the butcher did too. What the butcher did was to take the photo","The photographer used the camera, and the butcher did too. What the butcher did was to take the meat",No,No,"The photographer used the camera, and the butcher did too. What the butcher did was to cut the meat into",No,No,use,Yes
2,1.0,AT - T,"The grandfather used the camera, and the reporter did too.",VP-ellipsis,Agent,"The grandfather used the camera, and the reporter did too. What the reporter did was","The grandfather used the camera, and the reporter did too. What the reporter did was [MASK] the camera.",use,camera,"The grandfather used the camera, and the reporter did too. What the reporter did was to record the grandfather","The grandfather used the camera, and the reporter did too. What the reporter did was to take a picture","The grandfather used the camera, and the reporter did too. What the reporter did was not only to capture",No,No,"The grandfather used the camera, and the reporter did too. What the reporter did was to take a picture of",No,No,use,Yes
3,1.0,AT - AT,"The grandfather used the camera, and the butcher did too.",VP-ellipsis,Agent,"The grandfather used the camera, and the butcher did too. What the butcher did was","The grandfather used the camera, and the butcher did too. What the butcher did was [MASK] the camera.",use,camera,"The grandfather used the camera, and the butcher did too. What the butcher did was to take the picture","The grandfather used the camera, and the butcher did too. What the butcher did was to take the picture","The grandfather used the camera, and the butcher did too. What the butcher did was to take the photo",No,No,"The grandfather used the camera, and the butcher did too. What the butcher did was to take the camera and",No,Yes,use,Yes
4,1.0,T - SP violation,"The photographer used the camera, and the bike did too.",VP-ellipsis,Agent,"The photographer used the camera, and the bike did too. What the bike did was","The photographer used the camera, and the bike did too. What the bike did was [MASK] the camera.",use,camera,"The photographer used the camera, and the bike did too. What the bike did was to create a very","The photographer used the camera, and the bike did too. What the bike did was to take the photo","The photographer used the camera, and the bike did too. What the bike did was it took the photo",No,No,"The photographer used the camera, and the bike did too. What the bike did was to take a photo of",No,No,use,Yes
5,2.0,T - T,"The engineer completed the project, but the student didn’t.",VP-ellipsis,Agent,"The engineer completed the project, but the student didn't. What the student didn't do was","The engineer completed the project, but the student didn't. What the student didn't do was [MASK] the project.",complete,project,"The engineer completed the project, but the student didn't. What the student didn't do was report the matter to","The engineer completed the project, but the student didn't. What the student didn't do was report it to the","The engineer completed the project, but the student didn't. What the student didn't do was contact the engineering department",No,No,"The engineer completed the project, but the student didn't. What the student didn't do was to contact the engineer and",No,No,complete,Yes
6,2.0,T - AT,"The engineer completed the project, but the cyclist didn’t.",VP-ellipsis,Agent,"The engineer completed the project, but the cyclist didn't. What the cyclist didn't do was","The engineer completed the project, but the cyclist didn't. What the cyclist didn't do was [MASK] the project.",complete,project,"The engineer completed the project, but the cyclist didn't. What the cyclist didn't do was pay for the repairs","The engineer completed the project, but the cyclist didn't. What the cyclist didn't do was report it to the","The engineer completed the project, but the cyclist didn't. What the cyclist didn't do was call the police.",No,No,"The engineer completed the project, but the cyclist didn't. What the cyclist didn't do was report the incident to the",No,No,complete,Yes
7,2.0,AT - T,"The child completed the project, but the student didn’t.",VP-ellipsis,Agent,"The child completed the project, but the student didn't. What the student didn't do was","The child completed the project, but the student didn't. What the student didn't do was [MASK] the project.",complete,project,"The child completed the project, but the student didn't. What the student didn't do was to take the project","The child completed the project, but the student didn't. What the student didn't do was to write an essay","The child completed the project, but the student didn't. What the student didn't do was write a paper.",No,Yes,"The child completed the project, but the student didn't. What the student didn't do was to ask the teacher to",No,No,complete,Yes
8,2.0,AT - AT,"The child completed the project, but the cyclist didn’t. ",VP-ellipsis,Agent,"The child completed the project, but the cyclist didn't. What the cyclist didn't do was","The child completed the project, but the cyclist didn't. What the cyclist didn't do was [MASK] the project.",complete,project,"The child completed the project, but the cyclist didn't. What the cyclist didn't do was to take the child","The child completed the project, but the cyclist didn't. What the cyclist didn't do was stop at the stop","The child completed the project, but the cyclist didn't. What the cyclist didn't do was stop and ask the",No,No,"The child completed the project, but the cyclist didn't. What the cyclist didn't do was stop and talk to the",No,No,complete,Yes
9,2.0,T - SP violation,"The engineer completed the project, but the ball didn’t.",VP-ellipsis,Agent,"The engineer completed the project, but the ball didn't. What the ball didn't do was","The engineer completed the project, but the ball didn't. What the ball didn't do was [MASK] the project.",complete,project,"The engineer completed the project, but the ball didn't. What the ball didn't do was make the ball bounce","The engineer completed the project, but the ball didn't. What the ball didn't do was get the ball to","The engineer completed the project, but the ball didn't. What the ball didn't do was cause a problem.",No,No,"The engineer completed the project, but the ball didn't. What the ball didn't do was make the ball go faster",No,No,complete,Yes
10,3.0,T - T,"The barber cuts the hair, and the hairdresser does too.",VP-ellipsis,Agent,"The barber cuts the hair, and the hairdresser does too. What the hairdresser does is","The barber cuts the hair, and the hairdresser does too. What the hairdresser does is [MASK] hair.",cut,hair,"The barber cuts the hair, and the hairdresser does too. What the hairdresser does is not the same as","The barber cuts the hair, and the hairdresser does too. What the hairdresser does is a little bit different","The barber cuts the hair, and the hairdresser does too. What the hairdresser does is not a service.",No,No,"The barber cuts the hair, and the hairdresser does too. What the hairdresser does is to cut the hair,",Yes,Yes,cut,Yes
11,3.0,T - AT,"The barber cuts the hair, and the butcher does too.",VP-ellipsis,Agent,"The barber cuts the hair, and the butcher does too. What the butcher does is","The barber cuts the hair, and the butcher does too. What the butcher does is [MASK] hair.",cut,hair,"The barber cuts the hair, and the butcher does too. What the butcher does is to cut the hair","The barber cuts the hair, and the butcher does too. What the butcher does is cut off the hair","The barber cuts the hair, and the butcher does too. What the butcher does is cut the meat.",Yes,Yes,"The barber cuts the hair, and the butcher does too. What the butcher does is cut the hair, and",Yes,Yes,cut,Yes
12,3.0,AT - T,"The doctor cuts the hair, and the hairdresser does too. ",VP-ellipsis,Agent,"The doctor cuts the hair, and the hairdresser does too. What the hairdresser does is","The doctor cuts the hair, and the hairdresser does too. What the hairdresser does is [MASK] hair.",cut,hair,"The doctor cuts the hair, and the hairdresser does too. What the hairdresser does is not the same as","The doctor cuts the hair, and the hairdresser does too. What the hairdresser does is a little bit different","The doctor cuts the hair, and the hairdresser does too. What the hairdresser does is not important. The",No,No,"The doctor cuts the hair, and the hairdresser does too. What the hairdresser does is to cut the hair in",Yes,Yes,cut,Yes
