,ID,Condition,Sentence,Construction,Semantic_Role,Prompt_GPT,Prompt_BERT,Verb_to_retrieve,DObj_to_retrieve
0,1.0,T - T,"The photographer used the camera, and the reporter did too.",VP-ellipsis,Agent,"The photographer used the camera, and the reporter did too. What the reporter did was","The photographer used the camera, and the reporter did too. What the reporter did was [MASK] the camera.",use,camera
1,1.0,T - AT,"The photographer used the camera, and the butcher did too.",VP-ellipsis,Agent,"The photographer used the camera, and the butcher did too. What the butcher did was","The photographer used the camera, and the butcher did too. What the butcher did was [MASK] the camera.",use,camera
2,1.0,AT - T,"The grandfather used the camera, and the reporter did too.",VP-ellipsis,Agent,"The grandfather used the camera, and the reporter did too. What the reporter did was","The grandfather used the camera, and the reporter did too. What the reporter did was [MASK] the camera.",use,camera
3,1.0,AT - AT,"The grandfather used the camera, and the butcher did too.",VP-ellipsis,Agent,"The grandfather used the camera, and the butcher did too. What the butcher did was","The grandfather used the camera, and the butcher did too. What the butcher did was [MASK] the camera.",use,camera
4,1.0,T - SP violation,"The photographer used the camera, and the bike did too.",VP-ellipsis,Agent,"The photographer used the camera, and the bike did too. What the bike did was","The photographer used the camera, and the bike did too. What the bike did was [MASK] the camera.",use,camera
5,2.0,T - T,"The engineer completed the project, but the student didn’t.",VP-ellipsis,Agent,"The engineer completed the project, but the student didn't. What the student didn't do was","The engineer completed the project, but the student didn't. What the student didn't do was [MASK] the project.",complete,project
6,2.0,T - AT,"The engineer completed the project, but the cyclist didn’t.",VP-ellipsis,Agent,"The engineer completed the project, but the cyclist didn't. What the cyclist didn't do was","The engineer completed the project, but the cyclist didn't. What the cyclist didn't do was [MASK] the project.",complete,project
7,2.0,AT - T,"The child completed the project, but the student didn’t.",VP-ellipsis,Agent,"The child completed the project, but the student didn't. What the student didn't do was","The child completed the project, but the student didn't. What the student didn't do was [MASK] the project.",complete,project
8,2.0,AT - AT,"The child completed the project, but the cyclist didn’t. ",VP-ellipsis,Agent,"The child completed the project, but the cyclist didn't. What the cyclist didn't do was","The child completed the project, but the cyclist didn't. What the cyclist didn't do was [MASK] the project.",complete,project
9,2.0,T - SP violation,"The engineer completed the project, but the ball didn’t.",VP-ellipsis,Agent,"The engineer completed the project, but the ball didn't. What the ball didn't do was","The engineer completed the project, but the ball didn't. What the ball didn't do was [MASK] the project.",complete,project
10,3.0,T - T,"The barber cuts the hair, and the hairdresser does too.",VP-ellipsis,Agent,"The barber cuts the hair, and the hairdresser does too. What the hairdresser does is","The barber cuts the hair, and the hairdresser does too. What the hairdresser does is [MASK] hair.",cut,hair
11,3.0,T - AT,"The barber cuts the hair, and the butcher does too.",VP-ellipsis,Agent,"The barber cuts the hair, and the butcher does too. What the butcher does is","The barber cuts the hair, and the butcher does too. What the butcher does is [MASK] hair.",cut,hair
